,,,1.84E-02,-1.8399999,,,,,1.84E-02,0
,,,1.88E-02,-1.76,,,,,1.88E-02,0
,,,1.92E-02,-1.76,,,,,1.92E-02,8.00E-02
,,,1.96E-02,-1.6799999,,,,,1.96E-02,8.00E-02
,,,2.00E-02,-1.6799999,,,,,2.00E-02,8.00E-02
,,,2.04E-02,-1.5999999,,,,,2.04E-02,8.00E-02
,,,2.08E-02,-1.5999999,,,,,2.08E-02,8.00E-02
,,,2.12E-02,-1.5999999,,,,,2.12E-02,0
,,,2.16E-02,-1.52,,,,,2.16E-02,8.00E-02
,,,2.20E-02,-1.52,,,,,2.20E-02,8.00E-02
,,,2.24E-02,-1.52,,,,,2.24E-02,8.00E-02
,,,2.28E-02,-1.52,,,,,2.28E-02,0
,,,2.32E-02,-1.4399999,,,,,2.32E-02,8.00E-02
,,,2.36E-02,-1.4399999,,,,,2.36E-02,8.00E-02
,,,2.40E-02,-1.36,,,,,2.40E-02,8.00E-02
,,,2.44E-02,-1.28,,,,,2.44E-02,0
,,,2.48E-02,-1.36,,,,,2.48E-02,8.00E-02
,,,2.52E-02,-1.36,,,,,2.52E-02,8.00E-02
,,,2.56E-02,-1.28,,,,,2.56E-02,8.00E-02
,,,2.60E-02,-1.1999999,,,,,2.60E-02,8.00E-02
,,,2.64E-02,-1.1999999,,,,,2.64E-02,8.00E-02
,,,2.68E-02,-1.12,,,,,2.68E-02,8.00E-02
,,,2.72E-02,-1.12,,,,,2.72E-02,0
,,,2.76E-02,-1.12,,,,,2.76E-02,8.00E-02
,,,2.80E-02,-1.04,,,,,2.80E-02,0
,,,2.84E-02,-1.12,,,,,2.84E-02,8.00E-02
,,,2.88E-02,-1.04,,,,,2.88E-02,8.00E-02
,,,2.92E-02,-9.60E-01,,,,,2.92E-02,8.00E-02
,,,2.96E-02,-9.60E-01,,,,,2.96E-02,8.00E-02
,,,3.00E-02,-9.60E-01,,,,,3.00E-02,8.00E-02
,,,3.04E-02,-8.80E-01,,,,,3.04E-02,8.00E-02
,,,3.08E-02,-8.80E-01,,,,,3.08E-02,8.00E-02
,,,3.12E-02,-8.80E-01,,,,,3.12E-02,8.00E-02
,,,3.16E-02,-8.00E-01,,,,,3.16E-02,8.00E-02
,,,3.20E-02,-8.00E-01,,,,,3.20E-02,8.00E-02
,,,3.24E-02,-8.00E-01,,,,,3.24E-02,8.00E-02
,,,3.28E-02,-8.00E-01,,,,,3.28E-02,8.00E-02
